<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.04.25	15:00:00	1.10165	1.10291	1.10137	1.10171	3466	0	6
2023.04.25	16:00:00	1.10170	1.10184	1.09941	1.09985	4238	0	6
2023.04.25	17:00:00	1.09988	1.10034	1.09746	1.09764	4963	0	6
2023.04.25	18:00:00	1.09765	1.09872	1.09684	1.09684	3673	0	6
2023.04.25	19:00:00	1.09683	1.09732	1.09651	1.09677	2737	0	6
2023.04.25	20:00:00	1.09678	1.09725	1.09639	1.09683	2949	0	6
2023.04.25	21:00:00	1.09684	1.09734	1.09644	1.09720	2463	0	6
2023.04.25	22:00:00	1.09721	1.09758	1.09682	1.09695	2110	0	6
2023.04.25	23:00:00	1.09696	1.09752	1.09692	1.09736	1068	0	6
2023.04.26	00:00:00	1.09651	1.09749	1.09649	1.09738	719	0	7
2023.04.26	01:00:00	1.09738	1.09798	1.09725	1.09779	1110	0	6
2023.04.26	02:00:00	1.09780	1.09788	1.09726	1.09748	206	0	6
2023.04.26	03:00:00	1.09746	1.09784	1.09721	1.09779	1528	0	6
2023.04.26	04:00:00	1.09779	1.09782	1.09681	1.09752	2412	0	6
2023.04.26	05:00:00	1.09752	1.09786	1.09723	1.09769	1966	0	6
2023.04.26	06:00:00	1.09769	1.09783	1.09734	1.09750	1190	0	6
2023.04.26	07:00:00	1.09750	1.09815	1.09720	1.09809	1233	0	6
2023.04.26	08:00:00	1.09809	1.09903	1.09793	1.09884	1780	0	6
2023.04.26	09:00:00	1.09882	1.10114	1.09845	1.10065	2833	0	6
2023.04.26	10:00:00	1.10065	1.10256	1.10037	1.10189	4580	0	6
2023.04.26	11:00:00	1.10189	1.10428	1.10157	1.10416	3925	0	6
2023.04.26	12:00:00	1.10415	1.10541	1.10365	1.10408	4200	0	6
2023.04.26	13:00:00	1.10409	1.10626	1.10384	1.10448	3527	0	6
2023.04.26	14:00:00	1.10448	1.10582	1.10309	1.10458	5106	0	6
2023.04.26	15:00:00	1.10457	1.10571	1.10352	1.10535	4651	0	6
2023.04.26	16:00:00	1.10535	1.10952	1.10479	1.10848	6607	0	6
2023.04.26	17:00:00	1.10848	1.10856	1.10416	1.10431	5978	0	6
2023.04.26	18:00:00	1.10432	1.10564	1.10361	1.10506	4256	0	6
2023.04.26	19:00:00	1.10505	1.10525	1.10325	1.10408	3226	0	6
2023.04.26	20:00:00	1.10406	1.10418	1.10345	1.10371	2461	0	6
2023.04.26	21:00:00	1.10372	1.10395	1.10321	1.10387	2376	0	6
2023.04.26	22:00:00	1.10386	1.10406	1.10321	1.10354	2013	0	6
2023.04.26	23:00:00	1.10354	1.10417	1.10349	1.10385	876	0	6
2023.04.27	00:00:00	1.10352	1.10418	1.10340	1.10403	517	0	15
2023.04.27	01:00:00	1.10404	1.10441	1.10348	1.10394	893	0	6
2023.04.27	02:00:00	1.10394	1.10462	1.10385	1.10449	1154	0	6
2023.04.27	03:00:00	1.10449	1.10473	1.10406	1.10454	1862	0	6
2023.04.27	04:00:00	1.10454	1.10488	1.10387	1.10453	1995	0	6
2023.04.27	05:00:00	1.10455	1.10534	1.10425	1.10526	1908	0	6
2023.04.27	06:00:00	1.10528	1.10536	1.10455	1.10455	1405	0	6
2023.04.27	07:00:00	1.10454	1.10547	1.10453	1.10505	1340	0	6
2023.04.27	08:00:00	1.10504	1.10632	1.10496	1.10593	1987	0	6
2023.04.27	09:00:00	1.10592	1.10611	1.10488	1.10555	2718	0	6
2023.04.27	10:00:00	1.10556	1.10581	1.10397	1.10493	4048	0	6
2023.04.27	11:00:00	1.10493	1.10591	1.10411	1.10527	2975	0	6
2023.04.27	12:00:00	1.10526	1.10554	1.10337	1.10376	2969	0	6
2023.04.27	13:00:00	1.10376	1.10473	1.10344	1.10446	2526	0	6
2023.04.27	14:00:00	1.10445	1.10495	1.10304	1.10341	3077	0	6
2023.04.27	15:00:00	1.10341	1.10560	1.10005	1.10129	6202	0	6
2023.04.27	16:00:00	1.10128	1.10245	1.09918	1.10099	6144	0	6
2023.04.27	17:00:00	1.10099	1.10230	1.10047	1.10103	4951	0	6
2023.04.27	18:00:00	1.10108	1.10267	1.10058	1.10153	4071	0	6
2023.04.27	19:00:00	1.10153	1.10199	1.10069	1.10083	2484	0	6
2023.04.27	20:00:00	1.10083	1.10244	1.10052	1.10222	2153	0	6
2023.04.27	21:00:00	1.10222	1.10270	1.10184	1.10266	1654	0	6
2023.04.27	22:00:00	1.10266	1.10295	1.10223	1.10239	1646	0	6
2023.04.27	23:00:00	1.10237	1.10295	1.10230	1.10287	1053	0	6
2023.04.28	00:00:00	1.10205	1.10275	1.10197	1.10213	604	0	6
2023.04.28	01:00:00	1.10213	1.10289	1.10213	1.10264	818	0	6
2023.04.28	02:00:00	1.10265	1.10336	1.10263	1.10313	1420	0	6
2023.04.28	03:00:00	1.10313	1.10390	1.10298	1.10342	1881	0	6
