<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.11	13:00:00	1.26926	1.26956	1.26779	1.26837	4303	0	8
2020.06.11	14:00:00	1.26837	1.26858	1.26516	1.26525	5621	0	8
2020.06.11	15:00:00	1.26525	1.26630	1.26378	1.26477	6965	0	8
2020.06.11	16:00:00	1.26477	1.26627	1.26328	1.26552	6790	0	8
2020.06.11	17:00:00	1.26555	1.26848	1.26329	1.26443	8733	0	8
2020.06.11	18:00:00	1.26443	1.26622	1.26209	1.26338	8744	0	8
2020.06.11	19:00:00	1.26338	1.26390	1.26180	1.26258	6965	0	8
2020.06.11	20:00:00	1.26260	1.26273	1.25905	1.26084	7611	0	8
2020.06.11	21:00:00	1.26084	1.26207	1.25909	1.25944	7302	0	8
2020.06.11	22:00:00	1.25944	1.26064	1.25860	1.25875	7486	0	8
2020.06.11	23:00:00	1.25875	1.26017	1.25868	1.26010	2971	0	8
2020.06.12	00:00:00	1.25983	1.26023	1.25870	1.25982	771	0	8
2020.06.12	01:00:00	1.25958	1.25980	1.25699	1.25860	1674	0	8
2020.06.12	02:00:00	1.25861	1.25881	1.25718	1.25726	2352	0	8
2020.06.12	03:00:00	1.25729	1.25778	1.25519	1.25556	4139	0	8
2020.06.12	04:00:00	1.25555	1.25600	1.25449	1.25586	4186	0	8
2020.06.12	05:00:00	1.25586	1.25702	1.25546	1.25628	3596	0	8
2020.06.12	06:00:00	1.25628	1.25727	1.25551	1.25682	2990	0	8
2020.06.12	07:00:00	1.25684	1.25780	1.25677	1.25731	3160	0	8
2020.06.12	08:00:00	1.25732	1.26017	1.25708	1.25975	3145	0	8
2020.06.12	09:00:00	1.25973	1.26063	1.25723	1.25748	5193	0	8
2020.06.12	10:00:00	1.25750	1.26319	1.25726	1.26229	7622	0	8
2020.06.12	11:00:00	1.26230	1.26450	1.26169	1.26317	5945	0	8
2020.06.12	12:00:00	1.26319	1.26493	1.26236	1.26491	5261	0	8
2020.06.12	13:00:00	1.26488	1.26529	1.26029	1.26193	5820	0	8
2020.06.12	14:00:00	1.26194	1.26376	1.26136	1.26206	5612	0	8
2020.06.12	15:00:00	1.26205	1.26266	1.25909	1.25918	5454	0	8
2020.06.12	16:00:00	1.25918	1.26089	1.25735	1.25875	7384	0	8
